[2025-09-19 00:15:29] [INFO    ] discord.client: logging in using static token
[2025-09-19 00:15:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-19 00:15:30] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-19 00:15:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1417238156524126340', 'username': 'Rookie', 'avatar': None, 'discriminator': '2919', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-19 00:15:30] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-19 00:15:31] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-19 00:15:31] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1417238156524126340', 'name': 'Bot Tutorial', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1417238156524126340', 'username': 'Rookie', 'avatar': None, 'discriminator': '2919', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '92b1629b7fc18b5a6437f87d39d5aabaf32810b68e695b7a7e8424de49955aa0', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '808383456060506152', 'username': 'akash692692', 'avatar': 'f50ad22a1d2c6c0fcd2942aa3121ea30', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'SPY_BROKER', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-19 00:15:31] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-19 00:15:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-wzv3",{"micros":0.0}]']}}
[2025-09-19 00:15:31] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-19 00:15:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-19 00:15:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Rookie', 'primary_guild': None, 'mfa_enabled': False, 'id': '1417238156524126340', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2919', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'ba5bb30403f1ba8230d9ecc50fb5465b', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '969257283701862510'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'singapore', 'hongkong', 'saudi-arabia'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1417238156524126340', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-wzv3",{"micros":112579,"calls":["id_created",{"micros":666,"calls":[]},"session_lookup_time",{"micros":4734,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-174",{"micros":106804,"calls":["start_session",{"micros":79479,"calls":["discord-api-rpc-858795cc69-lztx4",{"micros":41130,"calls":["get_user",{"micros":5984},"get_guilds",{"micros":6226},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":4},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":25408},"apex_experiments",{"micros":6493},"user_activities",{"micros":8},"played_application_ids",{"micros":4}]}]},"starting_guild_connect",{"micros":32,"calls":[]},"presence_started",{"micros":9363,"calls":[]},"guilds_started",{"micros":56,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":17768,"calls":[]},"connect_finished",{"micros":17856,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-09-19 00:15:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-19 00:15:32] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: ba5bb30403f1ba8230d9ecc50fb5465b).
[2025-09-19 00:15:32] [DEBUG   ] discord.client: Dispatching event connect
